,Company Name,Price Per Share,Number of Shares,Quarterly Dividends Payout,Annual Dividend Payout,Annual Payout,Quarterly Payout,Reinvested Y1Q1 Shares,Reinvested Y1Q1 Dividends,Reinvested Y1Q2 Shares,Reinvested Y1Q2 Dividends,Reinvested Y1Q3 Shares,Reinvested Y1Q3 Dividends,Reinvested Y1Q4 Shares,Reinvested Y1Q4 Dividends,Reinvested Y2Q1 Shares,Reinvested Y2Q1 Dividends,Reinvested Y2Q2 Shares,Reinvested Y2Q2 Dividends,Reinvested Y2Q3 Shares,Reinvested Y2Q3 Dividends,Reinvested Y2Q4 Shares,Reinvested Y2Q4 Dividends,Reinvested Y3Q1 Shares,Reinvested Y3Q1 Dividends,Reinvested Y3Q2 Shares,Reinvested Y3Q2 Dividends,Reinvested Y3Q3 Shares,Reinvested Y3Q3 Dividends,Reinvested Y3Q4 Shares,Reinvested Y3Q4 Dividends,Reinvested Y4Q1 Shares,Reinvested Y4Q1 Dividends,Reinvested Y4Q2 Shares,Reinvested Y4Q2 Dividends,Reinvested Y4Q3 Shares,Reinvested Y4Q3 Dividends,Reinvested Y4Q4 Shares,Reinvested Y4Q4 Dividends,Reinvested Y5Q1 Shares,Reinvested Y5Q1 Dividends,Reinvested Y5Q2 Shares,Reinvested Y5Q2 Dividends,Reinvested Y5Q3 Shares,Reinvested Y5Q3 Dividends,Reinvested Y5Q4 Shares,Reinvested Y5Q4 Dividends,Reinvested Y6Q1 Shares,Reinvested Y6Q1 Dividends,Reinvested Y6Q2 Shares,Reinvested Y6Q2 Dividends,Reinvested Y6Q3 Shares,Reinvested Y6Q3 Dividends,Reinvested Y6Q4 Shares,Reinvested Y6Q4 Dividends,Reinvested Y7Q1 Shares,Reinvested Y7Q1 Dividends,Reinvested Y7Q2 Shares,Reinvested Y7Q2 Dividends,Reinvested Y7Q3 Shares,Reinvested Y7Q3 Dividends,Reinvested Y7Q4 Shares,Reinvested Y7Q4 Dividends,Reinvested Y8Q1 Shares,Reinvested Y8Q1 Dividends,Reinvested Y8Q2 Shares,Reinvested Y8Q2 Dividends,Reinvested Y8Q3 Shares,Reinvested Y8Q3 Dividends,Reinvested Y8Q4 Shares,Reinvested Y8Q4 Dividends,Reinvested Y9Q1 Shares,Reinvested Y9Q1 Dividends,Reinvested Y9Q2 Shares,Reinvested Y9Q2 Dividends,Reinvested Y9Q3 Shares,Reinvested Y9Q3 Dividends,Reinvested Y9Q4 Shares,Reinvested Y9Q4 Dividends,Reinvested Y10Q1 Shares,Reinvested Y10Q1 Dividends,Reinvested Y10Q2 Shares,Reinvested Y10Q2 Dividends,Reinvested Y10Q3 Shares,Reinvested Y10Q3 Dividends,Reinvested Y10Q4 Shares,Reinvested Y10Q4 Dividends
14,Morgan Stanley,89.8,222.71714922048997,172.60579064587972,690.4231625835189,3.1,0.775,224.6392627020699,174.0954285941042,226.57796457950982,174.0954285941042,228.51666645694974,175.5979225491201,230.47209989290874,177.10041650413606,232.44426488738688,178.61587741700427,234.43330583857846,180.14430528772485,236.43936714467785,181.68581202489833,238.4625944500776,183.24050953712535,240.50313464536853,184.80851069881015,242.56113587809472,186.38992935016063,244.63674756350852,187.9848803055234,246.7301203954186,189.59347936171912,248.84140635713038,191.21584330644941,250.9707587324806,192.85208992677605,253.11833211696586,194.50233801767246,255.28428242896666,196.16670739064855,257.4687669210674,197.84531888244916,259.6719441914733,199.53829436382725,261.89397419552483,201.2457567483918,264.13501825731095,202.96783000153175,266.3952390813815,204.70463914941598,268.67480076455985,206.45631028807065,270.97386880785683,208.2229705925339,273.2926101284864,210.00474832608904,275.63119307198406,211.80177284957696,277.9897874244292,213.61417463078766,280.36856442477205,215.44208525393265,282.7676967772657,217.28563742919835,285.1873586640051,219.14496500238093,287.6277257575728,221.02020296460395,290.08897523379335,222.91148746211894,292.57128578459645,224.81895580618985,295.07483763099054,226.74274648306226,297.5998125361471,228.68299916401767,300.1463938185972,230.63985471551402,302.7147663655405,232.61345520941282,305.30511664626897,234.60394393329392,307.9176327257043,236.61146540085846,310.5525042780524,238.63616536242085,313.2099226005738,240.67819081549064
15,"General Mills, Inc.",86.175,232.08587177255586,125.32637075718017,501.3054830287207,2.16,0.54,233.5401957732194,126.11170571753848,235.00363303132835,126.11170571753848,236.4670702894373,126.90196183691732,237.93967791156572,127.69221795629615,239.42145589771363,128.4874260722455,240.91246171230307,129.28758618476536,242.4127528197561,130.09272932464367,243.92238704458515,130.9028865226683,245.44142257139302,131.71808900407598,246.96991794712932,132.53836818855223,248.50793208334693,133.36375569144985,250.05552425847253,134.19428332500735,251.6127541200914,135.02998309957516,253.17968168724633,135.87088722484938,254.75636735275083,136.71702811111302,256.34287188551684,137.56843837048547,257.939256432897,138.4251508181791,259.5455825230413,139.2871984737644,261.1619120672683,140.1546145624423,262.78830736245186,141.0274325163249,264.4248310934217,141.90568597572403,266.0715463353796,142.7894087904477,267.72851655633053,143.67863502110498,269.39580561952874,144.57339894041849,271.0734777859392,145.47373503454554,272.7615977167143,146.37967800440717,274.4602304756862,147.29126276702573,276.1694415318745,148.20852445687058,277.88929676200934,149.13149842721225,279.6198624530707,150.06022025148505,281.3612053048431,150.9947257246582,283.11339243248636,151.93505086461528,284.87649136912245,152.88123191354265,286.6505700684383,153.83330533932613,288.4356969073049,154.7913078369567,290.2319406884126,155.75527632994465,292.03937064292313,156.7252479717428,293.85805643313773,157.7012601471785,295.6880681551822,158.6833504738944,297.52947634170835,159.67155680379838
16,"Gilead Sciences, Inc.",88.175,226.82166146867027,165.57981287212928,662.3192514885171,2.92,0.73,228.69951588173666,166.95064659366776,230.5929170339189,166.95064659366776,232.48631818610113,168.33282943476078,234.39539478870685,169.7150122758538,236.3201468417361,171.108638195756,238.26070412209623,172.51370719446734,240.21719640669465,173.93031400913026,242.18975454686057,175.3585533768871,244.17851046834497,176.79852081920822,246.18359718021577,178.2503126418918,248.20514878375297,179.7140259415575,250.24330048141735,181.18975861213966,252.298188585893,182.67760935143465,254.36995052920386,184.1776776677019,256.4587248719053,185.69006388631882,258.5646513123512,187.21486915649086,260.68787069603695,188.75219545801636,262.8285250250193,190.30214560810697,264.9867574674135,191.86482326826408,267.1627123669685,193.44033295121184,269.35653525272085,195.028780027887,271.5683728487275,196.6302707344862,273.798373083879,198.2449121795711,276.04668510179306,199.8728123512317,278.31345927078917,201.51408012430892,280.5988471939455,203.16882526767608,282.90300171923815,204.83715845158022,285.2260769497636,206.51919125504384,287.5682282540453,208.2150361733274,289.929612276425,209.92480662545307,292.31038694753875,211.64861696179025,294.7107114948797,213.3865824717033,297.1307464534474,215.1388193912622,299.5706536764841,216.9054449110166,302.0305963463,218.68657718383338,304.51073898518666,220.48233533279898,307.01124746642057,222.29283945918627,309.53228902535665,224.11821065048701,312.0740322706131,225.95857098851036,314.63664719534813,227.81404355754754
17,Kellogg Company,72.94,274.19797093501506,161.77680285165889,647.1072114066355,2.36,0.59,276.415914489329,163.0853895487041,278.6517986344991,163.0853895487041,280.88768277966915,164.40456119435444,283.14165263426685,165.7237328400048,285.4137081982921,167.05357505421742,287.70399576415747,168.39408783699233,290.01266162427527,169.7453575008529,292.3398532543939,171.1074703583224,294.6857193135977,172.4805134200924,297.05040965387866,173.86457439502263,299.43407532970843,175.2597416957884,301.83686860768745,176.66610444452797,304.2589429762716,178.0837524785356,306.700453155577,179.51277635600024,309.1615551072633,180.95326736179044,311.6424060444965,182.40531751328535,314.14316444199153,183.86901956625294,316.6639900461354,185.344467020775,319.2050438851918,186.83175412721985,321.76648827958746,188.33097589226315,324.3484868522809,189.8422280849566,326.9512045392148,191.36560724284573,329.57480759985157,192.90121067813672,332.2194636277942,194.4491364839124,334.88534156149194,196.00948354039858,337.5726116950318,197.58235152128023,340.281445689017,199.16784090006877,343.01201658153235,200.76605295652,345.76449879919784,202.37708978310408,348.53906816831085,204.0010542915267,351.3359019260779,205.63805021930338,354.1551787319362,207.28818213638596,356.99707867896643,208.95155545184235,359.86178330539695,210.6282764205902,362.74947560620024,212.31845215018419,365.6603400447824,214.02219060765813,368.59456256476676,215.7396006264216,371.5523306018715,217.47079191321237,374.5338330958832,219.2158750551042,377.5392605027259,220.9749615265711
18,"Best Buy Co., Inc.",84.745,236.00212401911617,207.68186913682223,830.7274765472889,3.52,0.88,238.45279213094366,209.83845707523042,240.92890820947608,209.83845707523042,243.4050242880085,212.01743922433894,245.9068525873104,214.19642137344746,248.43439310738177,216.39803027683314,250.98791284632605,218.62226593449594,253.56767880224672,220.86936330476692,256.17396074578045,223.13955734597712,258.80703122009726,225.4330854562868,261.46716556969056,227.7501874736856,264.15464196916764,230.0911057013277,266.86974145233864,232.45608493286753,269.6127479416049,234.845372478058,272.383948277649,237.2592181886123,275.18363224943033,239.6978744843311,278.0120926244888,242.1615963794987,280.8696251795599,244.65064150955013,283.75652873150455,247.1652701580127,286.673105168557,249.705745283724,289.6196594818938,252.27233254833018,292.5964997975269,254.86530034406653,295.6039374085254,257.48491982182367,298.6422868075675,260.1314649195023,301.7118657198278,262.8052123906594,304.81299513620235,265.5064418334485,307.94599934687494,268.23543571985806,311.1112059752289,270.99247942524994,314.3089460121072,273.7778612582015,317.5395538504245,276.59187249065434,320.80336732013546,279.4348073883736,324.10072772356193,282.3069632417192,327.43197987108357,285.2086403967345,330.79747211719524,288.14014228655356,334.1975563969351,291.1017754631318,337.63258826268685,294.0938496293029,341.10292692136056,297.11667767116444,344.60893527195543,300.1705756907973,348.1509799435089,303.2558630393208,351.7294313334354,306.37286235028785,355.3446636462596,309.5218995734231
19,"Tyson Foods, Inc.",64.645,309.3820094361513,148.5033645293526,594.0134581174104,1.92,0.48,311.6792229024573,149.60602699317948,313.99349356520275,149.60602699317948,316.3077642279482,150.7168769112973,318.6392187396861,151.82772682941513,320.9878571004165,152.94682499504933,323.3538069031089,154.0741714081999,325.73719574073283,155.20982731349224,328.13815215365713,156.35385395555176,330.5568056296499,157.50631303375542,332.993286610913,158.66726670223193,335.4477265011169,159.83677757323824,337.9202576724873,161.0149087205361,340.4110134729442,162.2017236827939,342.9201282332937,163.3972864670132,345.4477372744727,164.60166155198098,347.9939769148467,165.81491389174687,350.55898447756226,167.0371089191264,353.1428982979525,168.26831254922988,355.74585773099807,169.5085911830172,358.3680031588427,170.75801171087906,361.0094759983644,172.0166415162445,363.67041870880206,173.2845484792149,366.35097479943886,174.56180098022497,369.05128883734164,175.84846790373064,371.77150645515786,177.14461864192398,374.51177435896983,178.45032309847576,377.27224033620666,179.7656516923055,380.0530532636149,181.0906753613792,382.8543631152876,182.42546556653514,385.6763209707526,183.77009429533803,388.51907902312075,185.12463406596126,391.3827905872937,186.48915793109796,394.26761010823265,187.86373948190098,397.1736931692877,189.24845285195167,400.1011965005886,190.6433727212581,403.050277987498,192.04857432028254,406.0210966791259,193.46413343399905,409.0138127969076,194.89012640598042,412.028587743245,196.32663014251563,415.065584110211,197.7737221167576
20,Coca-Cola Company (The),63.555,314.6880654551176,138.46274880025175,553.850995201007,1.76,0.44,316.8666941829951,139.42134544051785,319.0604058569864,139.42134544051785,321.2541175309777,140.386578577074,323.4630165723918,141.35181171363018,325.6871029812287,142.32372729185238,327.9264819017204,143.30232531174062,330.181258478099,144.28765203675698,332.4515385825244,145.27975373036355,334.73742881508457,146.27867697631072,337.039036508835,147.2844686786372,339.3564697348383,148.2971760638874,341.6898373072384,149.31684668332886,344.0392487883702,150.3435284151849,346.4048144939037,151.37726946688286,348.78664549802426,152.41811837731763,351.1848536386476,153.46612401913066,353.5995515226714,154.52133560100495,356.03085253126244,155.58380266997543,358.4788708251807,156.65357511375547,360.94372135013947,157.7307031630795,363.42551984220273,158.81523739406137,365.92438283321934,159.90722873056922,368.44042765629496,161.0067284466165,370.9737724513011,162.1137881687698,373.52453617042266,163.2284598785725,376.092838583743,164.35079591498598,378.6788002848678,165.48084897684691,381.28254269658754,166.61867212534185,383.90418807657875,167.7643187864985,386.5438595231447,168.91784275369466,389.2016809809953,170.07929819018366,391.87777724706694,171.24873963163793,394.5722739763823,172.42622198870944,397.2852976879504,173.6118005496082,400.0169757707072,174.80553098269817,402.7674364894972,176.00746933911117,405.536808991096,177.21767205537876,408.32522331027434,178.43619595608223,411.13281037590383,179.6630982565207,413.9597020171047,180.89843656539767
21,"Pfizer, Inc.",50.565,395.5305052902205,158.2122021160882,632.8488084643528,1.6,0.4,398.6593929025232,159.4637571610093,401.8130319247918,159.4637571610093,404.9666709470604,160.72521276991674,408.14525717804855,161.98666837882416,411.3487906177563,163.25810287121942,414.57746861382515,164.53951624710254,417.8314885138964,165.83098744553007,421.11104922675173,167.13259540555856,424.41635122231304,168.4444196907007,427.7475965439921,169.76654048892522,431.1049888210399,171.09903861759685,434.4887332809944,172.441995528416,437.8990367622248,173.79549331239775,441.33610772657556,175.15961470488992,444.80015627210884,176.53444309063025,448.2913941459471,177.92006250884356,451.8100347572166,179.31655765837885,455.3562931900927,180.72401390288667,458.93038621694694,182.1425172760371,462.5325323115981,183.5721544867788,466.1629516626666,185.01301292463927,469.82186618703406,186.46518066506667,473.50949954340837,187.92874647481364,477.2260771459954,189.40379981736336,480.97182617827787,190.8904308583982,484.74697560690237,192.38873047131116,488.55175619567547,193.89879024276095,492.38640051966956,195.4207024782702,496.2511429794396,196.95456020786784,500.1462198153511,198.50045719177584,504.07186912202127,200.05848792614046,508.02833086287245,201.6287476488085,512.0158468848008,203.211332345149,516.0346609329596,204.80633875392033,520.0850186656585,206.41386437318386,524.1671676693801,208.0340074662634,528.2813574739141,209.66686706775204,532.4278395676104,211.31254298956566,536.6068674127516,212.97113582704415,540.8186964610468,214.64274696510066
22,Dow Inc.,51.133,391.13683922320223,273.79578745624156,1095.1831498249662,2.8,0.7,396.4914201681153,277.5439941176807,401.919304198344,277.5439941176807,407.34718822857263,281.3435129388408,412.84937884791515,285.14303176000084,418.4258760563715,288.9945651935406,424.07769709549575,292.89811323946003,429.80585920684183,296.854387966847,435.61139355778636,300.86410144478924,441.4953452415285,304.9279754904504,447.45877346773176,309.04674166906995,453.5027517531652,313.2211414274122,459.6283681149553,317.45192622721567,465.8367252664468,321.73985768046873,472.1289408157099,326.08570768651276,478.50614746672807,330.4902585709969,484.96949322330397,334.9543032267096,491.5201415957192,339.47864525631275,498.15927181018566,344.0640991170034,504.8880790211258,348.71149026712993,511.7077745263207,353.42165531478804,518.6195859849636,358.19544216842445,525.6247576386593,363.0337101894745,532.7245505354084,367.93733034706145,539.9202427566171,372.90718537478585,547.2131296471728,377.9441699296319,554.6045240486284,383.0491907530209,562.0957565355354,388.22316683403983,569.6881756549699,393.4670295748748,577.3831481692928,398.7817229584789,585.1820593021909,404.1682037185049,593.0863129880396,409.62744151153356,601.097332124635,415.1604190916277,609.216558829339,420.7681324872445,617.4454546986844,426.45159118053726,625.7855010714875,432.2118182890791,634.2381992955127,438.04985075004123,642.805070997741,443.96673950685886,651.4876583582882,449.9635496984187,660.2875243880228,456.0413608508017,669.2062532099343,462.2012670716159
23,Unilever PLC,51.155,390.96862476786237,164.59779102727006,658.3911641090803,1.684,0.421,394.18625336775034,165.9524126678229,397.4303626956327,165.9524126678229,400.6744720235151,167.31818269486138,403.94528001285846,168.68395272189983,407.24278666366286,170.0609628854134,410.5672117029633,171.44921318540204,413.9187748577947,172.84879612694755,417.2976976635214,174.25980421513157,420.70420346383673,175.6823307163425,424.1385174256458,177.11646965827526,427.6008665539475,178.56231583619686,431.09147970683966,180.0199648192119,434.61058761064595,181.4895129565795,438.1584228751671,182.97105738408194,441.7352200090559,184.46469603044534,445.3412154353182,185.97052762381253,448.97664750693997,187.48865169826894,452.6417565226426,189.01916860042172,456.33678474276616,190.5621794960325,460.0619764052827,192.11778637670454,463.81757774194,193.686092066624,467.60383699453746,195.26720022935675,471.4210044313346,196.86121537470027,475.26933236359343,198.46824286559186,479.14907516225617,200.08838892507282,483.0604892747588,201.72176064330984,487.00383324198214,203.36846598467346,490.979367715341,205.02861379487447,494.9873554740132,206.70231380815858,499.02806144230874,208.38967665455957,503.1017527071814,210.09081386721198,507.2086985358826,211.80583788972336,511.3491703937601,213.53486208360655,515.5234419622012,215.278000735773,519.7317891567233,217.0353690660867,523.9744901452109,218.8070832349805,528.2518253663033,220.59326035113378,532.5640775479303,222.39401847921366,536.9115317260012,224.20947664767866,541.2944752632444,226.03975485664648
24,"Cisco Systems, Inc.",49.495,404.0812203252854,153.55086372360847,614.2034548944339,1.52,0.38,407.18357134505726,154.72975711112176,410.3097407987621,154.72975711112176,413.43591025246695,155.9177015035296,416.5860810071599,157.10564589593744,419.76025306284106,158.30271078272077,422.9586106905352,159.5088961638796,426.18133816126715,160.72427206240337,429.4286211608106,161.94890850128152,432.70064678968794,163.18287604110805,435.997603574032,164.42624578008142,439.319681476448,165.67908935813216,442.6670719069588,166.94147896105025,446.03996773403327,168.21348732464435,449.438563295699,169.49518773893266,452.86305441073955,170.78665405236563,456.31363838997714,172.08796067608102,459.7905140476412,173.3991825881913,463.29388171282335,174.72039533810366,466.82394324102023,176.0516750508729,470.3809020257636,177.3930984315877,473.96496301033955,178.74474276979018,477.57633269959683,180.10668594392902,481.21521917184515,181.4790064258468,484.881832090844,182.86178328530116,488.5763827178831,184.25509619452072,492.29908392395487,185.6590254327956,496.0501502020192,187.07365189110286,499.82979767936246,188.49905707676731,503.63824413004977,189.93532311815773,507.4757089874729,191.3825327694189,511.34241335699346,192.8407694152397,515.2385800286823,194.31011707565753,519.1644334901564,195.7906604108993,523.1201999395129,197.28248472625944,527.1061072983624,198.7856759770149,531.1223852249614,200.30032077337773,535.169265127444,201.82650638548532,539.2469801771557,203.3643207484287,543.3557653220881,204.91385246731917,547.4958573004157,206.4751908223935
25,The Kraft Heinz Company,39.535,505.8808650562793,202.3523460225117,809.4093840900468,1.6,0.4,510.99917404888106,204.39966961955244,516.1692681330989,204.39966961955244,521.3393622173166,206.46770725323955,526.5617653348894,208.53574488692666,531.8364774858171,210.62470613395578,537.1640279128807,212.73459099432685,542.5449458588608,214.86561116515227,547.9797659212145,217.01797834354434,553.4690280520743,219.1919063684858,559.0132776124256,221.38761122082974,564.6130654262823,223.60531104497022,570.2689478354127,225.84522617051294,575.9814867546113,228.10757913416512,581.7512497275255,230.39259470184453,587.578809983042,232.70049989101022,593.4647464922366,235.0315239932168,599.4096440258958,237.38589859689466,605.4140932126137,239.76385761035831,611.4786905974717,242.16563728504548,617.6040387013048,244.59147623898866,623.7907460805634,247.04161548052195,630.0394273877728,249.51629843222537,636.3507034325995,252.01577095510913,642.7252012435293,254.54028137303982,649.1635541301624,257.09008049741175,655.6664017461334,259.665421652065,662.2343901526609,262.26656069845336,668.8681718827344,264.8937560610644,675.5684060059433,267.54726875309376,682.3357581939563,270.2273624023773,689.1709007866558,272.9343032775825,696.0745128589356,275.6683603146623,703.0472802881669,278.42980514357424,710.0898958223411,281.2189121152668,717.2030591488939,284.03595832893643,724.3874769642205,286.8812236595576,731.6438630438855,289.7549907856882,738.9729383135374,292.65754521755423,746.3754309205326,295.58917532541494,753.8520763062772,298.55017236821305
26,Verizon Communications Inc.,37.081,539.3597799412097,352.2019363016099,1408.8077452064397,2.612,0.653,548.8579578841349,358.40424649834006,558.5233996602019,358.40424649834006,568.188841436269,364.71577997811187,578.024492577773,371.0273134578836,588.0303530847141,377.4499936532858,598.2094203604964,383.9838205643183,608.5646918085242,390.6307514954042,619.0992176167657,397.39274375096636,629.8161007577535,404.271789103748,640.7184979181253,411.269913794813,651.8096204281659,418.3891791405358,663.092735207717,425.63168213959233,674.5711657284579,432.99955609063926,686.2482929928424,440.49497122068306,698.1275565299823,448.1201353243261,710.21245540877,455.87729441407845,722.5065492685386,463.76873338192684,735.0134593675631,471.79677667235575,747.7368696497118,479.96378896701873,760.6805278295618,488.27217588126183,773.8482464962984,496.7243846727039,787.2439042367236,505.3229049620829,800.8714467777037,514.0702694665805,814.7348881483944,522.9690547458405,828.8383118625833,532.0218819609015,843.1858721215003,541.2314176462669,857.7817950374483,550.6003744953397,872.630379878616,560.1315121594538,887.736000335439,569.8276380607363,903.1031058088819,579.6916082190417,918.7362227210212,589.7263280931999,934.6399558483156,599.9347534368269,950.8189896779542,610.3198911689501,967.2780897876855,620.8848002597041,984.0221042495314,631.6325926313586,1001.0559650577986,642.566434074944,1018.3846895818122,653.6895451827426,1036.0133820437939,665.0052022969234,1053.9472350223252,676.5167384745974,1072.1915309818355,688.2275444695784
27,BP p.l.c.,35.1133,569.5847442422101,205.05050792719564,820.2020317087826,1.44,0.36,575.4244262979325,207.15279346725572,581.3239798422378,207.15279346725572,587.2235333865431,209.2766327432056,593.1835722533885,211.4004720191555,599.2040964427742,213.54608601121987,605.2857260820056,215.71347471939873,611.4290812983879,217.902861389522,617.6347885770978,220.11446926741965,623.9034807611824,222.3485238877552,630.2357971167444,224.60525307402568,636.6323833981256,226.88488696202796,643.0938919137601,229.1876580233252,649.6209815926944,231.51380108895364,656.2143180517841,233.86355337337,662.8745736635714,236.23715449864224,669.6024276248522,238.6348465188857,676.3985660259392,241.0568739449468,683.2636819206272,243.50348376933812,690.1984753968694,245.97492549142578,697.203653648171,248.47145114287298,704.2799310457062,250.99331531334155,711.4280292111689,253.54077517645425,718.6486770903615,256.1140905160208,725.9426110275313,258.71352375253014,733.3105748404605,261.33933996991124,740.75331989632,263.99180694256574,748.271605188291,266.6711951626752,755.8661974129659,269.37777786778474,763.5378710485337,272.1118310686677,771.28740843376,274.8736335774721,779.1155998477676,277.6634670361536,787.0232435906272,280.4816159451963,795.0111460647665,283.32836769262576,803.0801218572049,286.20401258331594,811.230993822623,289.10884386859374,819.4645931672757,292.04315777614426,827.7817595337563,295.0072535402192,836.1833410866213,298.0014334321522,844.6701945988846,301.02600279118366,853.2431855393882,304.08127005559845
28,Intel Corporation,29.185,685.2835360630461,250.1284906630118,1000.5139626520472,1.46,0.365,693.8539828906291,253.25670375507963,702.5316153646768,253.25670375507963,711.2092478387244,256.424039608107,719.9954064684351,259.5913754611344,728.8900912538089,262.7983233609788,737.8946594690215,266.04488330764025,747.0104683882485,269.33155070619284,756.2388922603126,272.65882096171066,765.5813223086836,276.02719567501407,775.0391669437706,279.43718264266954,784.6138519752138,282.88929593447625,794.306820826832,286.38405597095306,804.1195347542246,289.92198960179365,814.0534730650621,293.50363018529197,824.110133342098,297.12951766874767,834.2910316689354,300.8001986698658,844.597702858583,304.5162265591614,855.031700684835,308.2781615433828,865.5945981165082,312.0865707499648,876.2879875545746,315.9420283125255,887.1134810722215,319.8451154574197,898.0727106578792,323.79642059136086,909.1673284612494,327.7965393901259,920.3990070423741,331.84607488835604,931.7694396237808,335.94563757046654,943.2803403457431,340.09584546268,954.9334445246939,344.2973242261962,966.7305089148325,348.55070725151324,978.6733119729621,352.85663575391385,990.7636541265997,357.21575887013114,1003.003358045398,361.6287337562089,1015.3942689159209,366.0962256865703,1027.9382547198122,370.6189081543111,1040.6372065154028,375.19746297273144,1053.4930387227946,379.83258037812203,1066.5076894124682,384.52495913382,1079.6831205974543,389.27530663555086,1093.0213185291161,394.0843390180708,1106.5242939965847,398.95278126312735,1120.1940826298937,403.8813673087534
29,AT&T Inc.,18.795,1064.1127959563712,295.8233572758712,1183.2934291034849,1.112,0.278,1079.8522669473725,300.1989302113696,1095.824543095889,300.1989302113696,1111.7968192444057,304.6392229806572,1128.005344010602,309.0795157499448,1144.4501173944777,313.58548563494736,1161.1346337889947,318.1571326356648,1178.0623875871147,322.79542819334057,1195.2369248679522,327.50134374921794,1212.6618433967747,332.27586511329076,1230.340793389501,337.1199924643034,1248.2774782772,342.0347405622813,1266.475655481897,347.02113896106164,1284.939137203688,352.0802322239674,1303.6717912193287,357.2130801426253,1322.6775416924665,362.4207579589734,1341.960369995684,367.7043565905057,1361.524315544527,373.0649828588002,1381.3734766436917,378.5037597213786,1401.5120113455473,384.0218265069463,1421.9441383211763,389.6203391540622,1442.6741377441112,395.30047045328706,1463.706352186957,401.06341029286295,1485.045187531084,406.9103659079741,1506.6951138895822,412.84256213364137,1528.6606665436732,418.8612416613039,1550.9464468927715,424.9676652991412,1573.5571234183976,431.1631122361905,1596.4974326621427,437.44888031031456,1619.7721802178924,443.8262862800757,1643.3862417385135,450.2966661005741,1667.3445639572192,456.8613752033068,1691.6521657238225,463.521788780107,1716.3141390560975,470.2793020712227,1741.3356502064685,477.13533065759515,1766.7219407442494,484.0913107573983,1792.4783286536615,491.1486995269014,1818.6102094478567,498.3089753657179,1845.1230572991851,505.5736382265042,1872.022426185937,512.9442099291736,1899.3139510558053,520.4222344796906
30,Ford Motor Company,13.525,1478.743068391867,221.81146025878004,887.2458410351202,0.6,0.15,1495.1431763592443,224.27147645388663,1511.725170921454,224.27147645388663,1528.3071654836638,226.7587756382181,1545.0730638672658,229.24607482254956,1562.0228660722603,231.76095958008986,1579.1586116974056,234.30342991083904,1596.4823403414603,236.87379175461083,1613.9961142235018,239.47235105121902,1631.7020181829264,242.09941713352526,1649.602159930322,244.75530272743896,1667.6986702983395,247.4403239895483,1685.9937034953487,250.1548005447509,1704.4894373618736,252.8990555243023,1723.1880736298442,255.67341560428102,1742.0918381846893,258.4782110444766,1761.2029813303068,261.3137757277034,1780.5237780569391,264.180447199546,1800.0565283119888,267.07856670854085,1819.8035572738033,270.0084792467983,1839.767215628465,272.9705335910705,1859.9498798496163,275.9650823442697,1880.3539524813552,278.9924819774424,1900.9818624242346,282.05309287220325,1921.8360652243975,285.14727936363516,1942.9190433658862,288.2754097836596,1964.2333065661567,291.4378565048829,1985.7813920748356,294.6349959849235,2007.565864975754,297.86720881122534,2029.5893184922957,301.1348797463631,2051.8543742960933,304.4383977738443,2074.3636828191134,307.77815614441397,2097.1199235691624,311.15455242286697,2120.1258054488567,314.56798853537435,2143.3840670780896,318.0188708173285,2166.8974771200365,321.5076100617134,2190.668834610736,325.03462156800543,2214.7009692922893,328.6003251916104,2238.9967419497098,332.2051453938434,2263.559044751473,335.84951129245644,2288.3908015937986,339.53385671272093
